url,filename,doc_type,source,filled
https://files.consumerfinance.gov/f/201410-settlement_statement_HUD1_explainer.pdf,hud1_explainer_sample.pdf,settlement_statement,CFPB,filled
https://www.irs.gov/pub/irs-pdf/fw2.pdf,irs_w2.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/f1040.pdf,irs_1040.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/f1040sb.pdf,irs_1040_schedule_b.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/f1040se.pdf,irs_1040_schedule_e.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/f4506c.pdf,irs_4506c_transcript_request.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/f4506t.pdf,irs_4506t_transcript_request.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/f1098.pdf,irs_1098_mortgage_interest.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/f1099int.pdf,irs_1099_int.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/f1099msc.pdf,irs_1099_misc.pdf,tax_form,IRS,blank
https://www.irs.gov/pub/irs-pdf/fw9.pdf,irs_w9.pdf,tax_form,IRS,blank
https://homeloans.va.gov/CreditStandards/runtime/pdfs/VBA-26-1802a-ARE.pdf,va_26_1802a_urla_addendum.pdf,loan_application,VA,blank
https://forms.sc.egov.usda.gov/efcommon/eFileServices/eForms/RD410-4.PDF,usda_rd410_4_loan_application.pdf,loan_application,USDA,blank
https://homeloans.va.gov/sar_tpss/runtime/pdfs/urar_lt4_3.pdf,urar_form_1004_blank.pdf,appraisal,VA,blank
https://homeloans.va.gov/SAR_TPSS/runtime/pdfs/appraisal_report_34-34-6-2222TRA.pdf,va_sample_appraisal_report.pdf,appraisal,VA,filled
https://19january2021snapshot.epa.gov/sites/static/files/2016-02/documents/uniformresidentialappraisalreport.pdf,urar_form_1004_epa.pdf,appraisal,EPA,blank
https://www.benefits.va.gov/HOMELOANS/documents/circulars/26_21_09.pdf,va_circular_26_21_09.pdf,circular,VA,filled
https://www.vba.va.gov/pubs/forms/VBA-26-6393-ARE.pdf,va_26_6393_loan_analysis.pdf,va_form,VA,blank
https://www.vba.va.gov/pubs/forms/VBA-26-8923-ARE.pdf,va_26_8923_irrrl_worksheet.pdf,va_form,VA,blank
https://www.ftc.gov/sites/default/files/documents/reports/improving-consumer-mortgage-disclosures-empirical-assessment-current-and-prototype-disclosure-forms/samplecurrentforms.pdf,ftc_sample_disclosure_forms.pdf,ftc_sample,FTC,filled
